#nbCourses
5
#courses
80 81 82 83 84 
#status
2 1 1 0 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 80
1 80
2 81
3 81
4 82
5 82
6 83
7 83
8 84
9 84
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 80
1 80
2 80
3 80
4 80
5 80
6 80
7 80
8 80
9 80
10 81
11 81
12 81
13 81
14 81
15 81
16 81
17 81
18 81
19 81
20 82
21 82
22 82
23 82
24 82
25 82
26 82
27 82
28 82
29 82
30 83
31 83
32 83
33 83
34 83
35 83
36 83
37 83
38 83
39 83
40 84
41 84
42 84
43 84
44 84
45 84
46 84
47 84
48 84
49 84
-1
