#nbCourses
5
#courses
130 131 132 133 134 
#status
1 0 2 1 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 130
1 130
2 131
3 131
4 132
5 132
6 133
7 133
8 134
9 134
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 130
1 130
2 130
3 130
4 130
5 130
6 130
7 130
8 130
9 130
10 131
11 131
12 131
13 131
14 131
15 131
16 131
17 131
18 131
19 131
20 132
21 132
22 132
23 132
24 132
25 132
26 132
27 132
28 132
29 132
30 133
31 133
32 133
33 133
34 133
35 133
36 133
37 133
38 133
39 133
40 134
41 134
42 134
43 134
44 134
45 134
46 134
47 134
48 134
49 134
-1
