#nbCourses
5
#courses
15 16 17 18 19 
#status
0 0 0 0 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 15
1 15
2 16
3 16
4 17
5 17
6 18
7 18
8 19
9 19
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 15
1 15
2 15
3 15
4 15
5 15
6 15
7 15
8 15
9 15
10 16
11 16
12 16
13 16
14 16
15 16
16 16
17 16
18 16
19 16
20 17
21 17
22 17
23 17
24 17
25 17
26 17
27 17
28 17
29 17
30 18
31 18
32 18
33 18
34 18
35 18
36 18
37 18
38 18
39 18
40 19
41 19
42 19
43 19
44 19
45 19
46 19
47 19
48 19
49 19
-1
