#nbCourses
5
#courses
125 126 127 128 129 
#status
2 1 2 1 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 125
1 125
2 126
3 126
4 127
5 127
6 128
7 128
8 129
9 129
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 125
1 125
2 125
3 125
4 125
5 125
6 125
7 125
8 125
9 125
10 126
11 126
12 126
13 126
14 126
15 126
16 126
17 126
18 126
19 126
20 127
21 127
22 127
23 127
24 127
25 127
26 127
27 127
28 127
29 127
30 128
31 128
32 128
33 128
34 128
35 128
36 128
37 128
38 128
39 128
40 129
41 129
42 129
43 129
44 129
45 129
46 129
47 129
48 129
49 129
-1
