#nbCourses
5
#courses
5 6 7 8 9 
#status
0 0 0 0 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 5
1 5
2 6
3 6
4 7
5 7
6 8
7 8
8 9
9 9
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 5
1 5
2 5
3 5
4 5
5 5
6 5
7 5
8 5
9 5
10 6
11 6
12 6
13 6
14 6
15 6
16 6
17 6
18 6
19 6
20 7
21 7
22 7
23 7
24 7
25 7
26 7
27 7
28 7
29 7
30 8
31 8
32 8
33 8
34 8
35 8
36 8
37 8
38 8
39 8
40 9
41 9
42 9
43 9
44 9
45 9
46 9
47 9
48 9
49 9
-1
