#nbCourses
5
#courses
60 61 62 63 64 
#status
0 0 2 0 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 60
1 60
2 61
3 61
4 62
5 62
6 63
7 63
8 64
9 64
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 60
1 60
2 60
3 60
4 60
5 60
6 60
7 60
8 60
9 60
10 61
11 61
12 61
13 61
14 61
15 61
16 61
17 61
18 61
19 61
20 62
21 62
22 62
23 62
24 62
25 62
26 62
27 62
28 62
29 62
30 63
31 63
32 63
33 63
34 63
35 63
36 63
37 63
38 63
39 63
40 64
41 64
42 64
43 64
44 64
45 64
46 64
47 64
48 64
49 64
-1
