#nbCourses
5
#courses
70 71 72 73 74 
#status
0 0 2 1 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 70
1 70
2 71
3 71
4 72
5 72
6 73
7 73
8 74
9 74
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 70
1 70
2 70
3 70
4 70
5 70
6 70
7 70
8 70
9 70
10 71
11 71
12 71
13 71
14 71
15 71
16 71
17 71
18 71
19 71
20 72
21 72
22 72
23 72
24 72
25 72
26 72
27 72
28 72
29 72
30 73
31 73
32 73
33 73
34 73
35 73
36 73
37 73
38 73
39 73
40 74
41 74
42 74
43 74
44 74
45 74
46 74
47 74
48 74
49 74
-1
