#nbCourses
5
#courses
150 151 152 153 154 
#status
1 0 2 0 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 150
1 150
2 151
3 151
4 152
5 152
6 153
7 153
8 154
9 154
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 150
1 150
2 150
3 150
4 150
5 150
6 150
7 150
8 150
9 150
10 151
11 151
12 151
13 151
14 151
15 151
16 151
17 151
18 151
19 151
20 152
21 152
22 152
23 152
24 152
25 152
26 152
27 152
28 152
29 152
30 153
31 153
32 153
33 153
34 153
35 153
36 153
37 153
38 153
39 153
40 154
41 154
42 154
43 154
44 154
45 154
46 154
47 154
48 154
49 154
-1
