#nbCourses
5
#courses
30 31 32 33 34 
#status
0 0 0 0 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 30
1 30
2 31
3 31
4 32
5 32
6 33
7 33
8 34
9 34
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 30
1 30
2 30
3 30
4 30
5 30
6 30
7 30
8 30
9 30
10 31
11 31
12 31
13 31
14 31
15 31
16 31
17 31
18 31
19 31
20 32
21 32
22 32
23 32
24 32
25 32
26 32
27 32
28 32
29 32
30 33
31 33
32 33
33 33
34 33
35 33
36 33
37 33
38 33
39 33
40 34
41 34
42 34
43 34
44 34
45 34
46 34
47 34
48 34
49 34
-1
