#nbCourses
5
#courses
75 76 77 78 79 
#status
2 1 2 1 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 75
1 75
2 76
3 76
4 77
5 77
6 78
7 78
8 79
9 79
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 75
1 75
2 75
3 75
4 75
5 75
6 75
7 75
8 75
9 75
10 76
11 76
12 76
13 76
14 76
15 76
16 76
17 76
18 76
19 76
20 77
21 77
22 77
23 77
24 77
25 77
26 77
27 77
28 77
29 77
30 78
31 78
32 78
33 78
34 78
35 78
36 78
37 78
38 78
39 78
40 79
41 79
42 79
43 79
44 79
45 79
46 79
47 79
48 79
49 79
-1
