#nbCourses
5
#courses
120 121 122 123 124 
#status
2 1 2 1 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 120
1 120
2 121
3 121
4 122
5 122
6 123
7 123
8 124
9 124
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 120
1 120
2 120
3 120
4 120
5 120
6 120
7 120
8 120
9 120
10 121
11 121
12 121
13 121
14 121
15 121
16 121
17 121
18 121
19 121
20 122
21 122
22 122
23 122
24 122
25 122
26 122
27 122
28 122
29 122
30 123
31 123
32 123
33 123
34 123
35 123
36 123
37 123
38 123
39 123
40 124
41 124
42 124
43 124
44 124
45 124
46 124
47 124
48 124
49 124
-1
