#nbCourses
5
#courses
45 46 47 48 49 
#status
1 0 2 0 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 45
1 45
2 46
3 46
4 47
5 47
6 48
7 48
8 49
9 49
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 45
1 45
2 45
3 45
4 45
5 45
6 45
7 45
8 45
9 45
10 46
11 46
12 46
13 46
14 46
15 46
16 46
17 46
18 46
19 46
20 47
21 47
22 47
23 47
24 47
25 47
26 47
27 47
28 47
29 47
30 48
31 48
32 48
33 48
34 48
35 48
36 48
37 48
38 48
39 48
40 49
41 49
42 49
43 49
44 49
45 49
46 49
47 49
48 49
49 49
-1
