#nbCourses
5
#courses
95 96 97 98 99 
#status
2 0 1 0 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 95
1 95
2 96
3 96
4 97
5 97
6 98
7 98
8 99
9 99
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 95
1 95
2 95
3 95
4 95
5 95
6 95
7 95
8 95
9 95
10 96
11 96
12 96
13 96
14 96
15 96
16 96
17 96
18 96
19 96
20 97
21 97
22 97
23 97
24 97
25 97
26 97
27 97
28 97
29 97
30 98
31 98
32 98
33 98
34 98
35 98
36 98
37 98
38 98
39 98
40 99
41 99
42 99
43 99
44 99
45 99
46 99
47 99
48 99
49 99
-1
