(1,1,30,NULL)
(2,1,30,NULL)
(3,1,30,NULL)
(4,1,30,NULL)
(5,1,30,NULL)
(6,1,30,NULL)
(7,1,30,NULL)
(8,1,30,NULL)
(9,1,30,NULL)
(10,1,30,NULL)
(11,1,30,NULL)
(12,1,30,NULL)
(13,1,30,NULL)
(14,1,30,3)
(15,1,30,16)
(16,1,30,NULL)
(17,1,30,NULL)
(18,1,30,NULL)
(19,1,30,NULL)
(20,1,30,NULL)
(21,1,30,NULL)
(22,1,30,NULL)
(23,1,30,NULL)
(24,1,30,NULL)
(25,1,30,NULL)
(26,1,30,NULL)
(27,1,30,NULL)
(28,1,30,NULL)
(29,1,30,NULL)
(30,1,30,NULL)
(31,1,30,NULL)
(32,1,30,NULL)
(33,1,30,NULL)
(34,1,30,NULL)
(35,1,30,NULL)
(36,1,30,NULL)
(37,1,30,NULL)
(38,1,30,NULL)
(39,1,30,NULL)
(40,1,30,NULL)
(41,1,30,NULL)
(42,1,30,NULL)
(43,1,30,NULL)
(44,1,30,NULL)
(45,1,30,NULL)
(46,1,30,NULL)
(47,1,30,NULL)
(48,1,30,NULL)
(49,1,30,NULL)
