#nbCourses
6
#courses
72 79 80 276 289 322 
#status
3 0 0 0 3 0 
#nbFCourses_short
12
#FCourses_short
0 1 2 3 4 5 6 7 8 9 10 11 
#FCourse_short Course
0 72
1 72
2 79
3 79
4 80
5 80
6 276
7 276
8 289
9 289
10 322
11 322
-1
nbFCourses
60
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 
#FCourse Course
0 72
1 72
2 72
3 72
4 72
5 72
6 72
7 72
8 72
9 72
10 79
11 79
12 79
13 79
14 79
15 79
16 79
17 79
18 79
19 79
20 80
21 80
22 80
23 80
24 80
25 80
26 80
27 80
28 80
29 80
30 276
31 276
32 276
33 276
34 276
35 276
36 276
37 276
38 276
39 276
40 289
41 289
42 289
43 289
44 289
45 289
46 289
47 289
48 289
49 289
50 322
51 322
52 322
53 322
54 322
55 322
56 322
57 322
58 322
59 322
-1
