#nbCourses
6
#courses
61 166 182 263 268 324 
#status
0 0 0 3 3 0 
#nbFCourses_short
12
#FCourses_short
0 1 2 3 4 5 6 7 8 9 10 11 
#FCourse_short Course
0 61
1 61
2 166
3 166
4 182
5 182
6 263
7 263
8 268
9 268
10 324
11 324
-1
nbFCourses
60
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 
#FCourse Course
0 61
1 61
2 61
3 61
4 61
5 61
6 61
7 61
8 61
9 61
10 166
11 166
12 166
13 166
14 166
15 166
16 166
17 166
18 166
19 166
20 182
21 182
22 182
23 182
24 182
25 182
26 182
27 182
28 182
29 182
30 263
31 263
32 263
33 263
34 263
35 263
36 263
37 263
38 263
39 263
40 268
41 268
42 268
43 268
44 268
45 268
46 268
47 268
48 268
49 268
50 324
51 324
52 324
53 324
54 324
55 324
56 324
57 324
58 324
59 324
-1
