#nbCourses
6
#courses
7 29 94 109 195 234 
#status
3 3 0 0 0 0 
#nbFCourses_short
12
#FCourses_short
0 1 2 3 4 5 6 7 8 9 10 11 
#FCourse_short Course
0 7
1 7
2 29
3 29
4 94
5 94
6 109
7 109
8 195
9 195
10 234
11 234
-1
nbFCourses
60
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 
#FCourse Course
0 7
1 7
2 7
3 7
4 7
5 7
6 7
7 7
8 7
9 7
10 29
11 29
12 29
13 29
14 29
15 29
16 29
17 29
18 29
19 29
20 94
21 94
22 94
23 94
24 94
25 94
26 94
27 94
28 94
29 94
30 109
31 109
32 109
33 109
34 109
35 109
36 109
37 109
38 109
39 109
40 195
41 195
42 195
43 195
44 195
45 195
46 195
47 195
48 195
49 195
50 234
51 234
52 234
53 234
54 234
55 234
56 234
57 234
58 234
59 234
-1
